#       time        depth temperature C_0 C_1 C_2 C_3 adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity viscosity vertical_heat_flux vertical_mass_flux
           0   1.5895e+06      2476.06            0            0            0            0      2477.87   5.3756e+10      3514.18 -7.13479e-05            0            0  5.22353e+20    0.0026785            0
           0   1.6473e+06      2512.11            0            0            0            0      2514.13   5.5814e+10      3509.94 -7.24057e-05            0            0  5.35279e+20   0.00271537            0
           0   1.7051e+06      2548.72            0            0            0            0      2550.93  5.78705e+10      3505.64 -7.35336e-05            0            0  5.43058e+20   0.00275282            0
           0   1.7629e+06      2582.99            0            0            0            0       2588.3  5.99253e+10      3501.27 -7.46248e-05            0            0  5.45454e+20    0.0027882            0
           0   1.8207e+06      2620.67            0            0            0            0      2626.23  6.19793e+10      3496.83 -7.58389e-05            0            0  5.43062e+20   0.00282782            0
           0   1.8785e+06      2658.94            0            0            0            0      2664.78  6.40329e+10      3492.32 -7.70177e-05            0            0  5.35922e+20   0.00286884            0
           0   1.9363e+06      2697.81            0            0            0            0      2703.93  6.60863e+10      3487.75 -7.82159e-05            0            0  5.24256e+20   0.00291041            0
           0   1.9941e+06      2737.31            0            0            0            0      2743.71  6.81396e+10       3483.1 -7.95346e-05            0            0  5.08804e+20   0.00295336            0
           0   2.0519e+06      2774.34            0            0            0            0      2784.15  7.01941e+10      3478.37 -8.08432e-05            0            0  4.91539e+20   0.00299517            0
           0   2.1097e+06      2815.09            0            0            0            0      2825.27  7.22498e+10      3473.56 -8.21753e-05            0            0   4.7018e+20   0.00304109            0
           0   2.1675e+06      2856.54            0            0            0            0      2867.08  7.43069e+10      3468.67 -8.36152e-05            0            0  4.46729e+20   0.00308784            0
           0   2.2253e+06       2898.7            0            0            0            0      2909.63  7.63665e+10      3463.69 -8.50858e-05            0            0  4.21725e+20   0.00313802            0
           0   2.2831e+06      2941.61            0            0            0            0      2952.94  7.84294e+10      3458.63  -8.6661e-05            0            0  3.95694e+20   0.00318946            0
           0   2.3409e+06       2981.9            0            0            0            0      2997.02  8.04955e+10      3453.47 -8.81915e-05            0            0  3.71197e+20   0.00323751            0
           0   2.3987e+06       3026.3            0            0            0            0      3041.93  8.25656e+10      3448.22 -8.98468e-05            0            0  3.44627e+20    0.0032931            0
           0   2.4565e+06      3071.56            0            0            0            0       3087.7  8.46416e+10      3442.87 -9.16529e-05            0            0  3.18245e+20   0.00335153            0
           0   2.5143e+06      3117.69            0            0            0            0      3134.37  8.67234e+10      3437.41  -9.3411e-05            0            0  2.92495e+20   0.00341118            0
           0   2.5721e+06      3164.73            0            0            0            0      3181.96  8.88112e+10      3431.85 -9.53563e-05            0            0  2.67575e+20   0.00347354            0
           0   2.6299e+06      3208.99            0            0            0            0      3230.54  9.09072e+10      3426.17 -9.73388e-05            0            0  2.45464e+20   0.00353438            0
           0   2.6877e+06      3257.91            0            0            0            0      3280.16  9.30119e+10      3420.37 -9.93677e-05            0            0    2.227e+20   0.00360318            0
