#       time        depth temperature spcrust spharz opcrust opharz adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity viscosity vertical_heat_flux vertical_mass_flux spcrust_mass spharz_mass opcrust_mass opharz_mass
           0   2.3409e+06      2803.66            0            0            0            0      2817.88  8.58256e+10      3771.88   -8.292e-05            0            0  2.11107e+23   0.00332294            0            0            0            0            0
           0   2.3987e+06      2845.41            0            0            0            0       2860.1  8.80882e+10      3771.98  8.43965e-05            0            0  1.98008e+23   0.00338504            0            0            0            0            0
           0   2.4565e+06      2887.97            0            0            0            0      2903.14  9.03607e+10      3771.82  8.60928e-05            0            0  1.85012e+23   0.00345042            0            0            0            0            0
           0   2.5143e+06      2931.34            0            0            0            0      2947.02  9.26431e+10         3772            0            0            0  1.72298e+23   0.00351737            0            0            0            0            0
           0   2.5721e+06      2975.57            0            0            0            0      2991.77  9.49358e+10      3771.74 -9.20749e-08            0            0   1.5992e+23   0.00358729            0            0            0            0            0
           0   2.6299e+06      3017.18            0            0            0            0      3037.45  9.72412e+10         3772            0            0            0    1.488e+23   0.00365571            0            0            0            0            0
           0   2.6877e+06      3063.18            0            0            0            0      3084.09  9.95601e+10      3771.96  9.33318e-05            0            0  1.37217e+23    0.0037331            0            0            0            0            0
           0   2.7455e+06      3110.15            0            0            0            0      3131.74  1.01893e+11      3771.79  9.54249e-05            0            0  1.26102e+23   0.00381322            0            0            0            0            0
           0   2.8033e+06      3143.58            0            0            0            0      3180.47  1.04242e+11      3771.89  9.75964e-05            0            0  1.28896e+23    0.0022858            0            0            0            0            0
           0   2.8611e+06      3298.14            0            0            0            0      3230.33  1.06608e+11         3772  9.98267e-05            0            0   6.6175e+22    0.0292878            0            0            0            0            0
           0        28900      867.087    0.0761266      0.31196    0.0519655     0.206233         1573            0         3000 -3.56121e-05            0            0  6.38167e+22    0.0697886            0      242.239      1025.72      165.455      679.543
           0        86700      1473.91   0.00211941   0.00505783            0            0      1595.79  1.87056e+09      3299.88 -3.14867e-08            0            0  4.47952e+21    0.0200897            0      6.82064      16.7845            0            0
           0       144500      1607.74   0.00261233   0.00361286            0            0      1618.96  3.78911e+09      3299.88  -3.2548e-08            0            0  7.70855e+21    0.0034984            0      9.02673      12.0822            0            0
           0       202300      1640.88  0.000283033   0.00197923            0            0      1642.51  5.71146e+09      3299.98 -4.12004e-05            0            0  7.28343e+21    0.0023091            0     0.959335      6.64686            0            0
           0       260100      1674.02            0            0            0            0      1666.45  7.63811e+09      3299.93 -4.18814e-05            0            0  3.47826e+20   0.00214331            0            0            0            0            0
