#       time        depth temperature spcrust spharz opcrust opharz adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity vertical_heat_flux vertical_mass_flux spcrust_mass spharz_mass opcrust_mass opharz_mass
           0   1.8207e+06      2464.02            0            0            0            0      2469.26  6.57318e+10       3771.8  7.12508e-05   0.00218933  0.000591552   0.00059197  3.20884e+22   0.00302123  1.41466e-07            0            0            0            0
           0   1.8785e+06      2500.01            0            0            0            0      2505.49  6.79484e+10      3771.79 -5.58485e-08   0.00215425   0.00056699  0.000566447    3.146e+22   0.00270961   1.3548e-07            0            0            0            0
           0   1.9363e+06      2536.55            0            0            0            0      2542.31  7.01675e+10         3772            0   0.00211898   0.00054109  0.000540681  3.07087e+22   0.00280472  1.29304e-07            0            0            0            0
           0   1.9941e+06      2573.69            0            0            0            0      2579.71  7.23895e+10      3771.96 -7.47806e-05   0.00208385  0.000513662  0.000515055  2.98502e+22   0.00354173  1.22962e-07            0            0            0            0
           0   2.0519e+06      2608.51            0            0            0            0      2617.73  7.46157e+10      3771.78 -6.20402e-08   0.00205169  0.000489999  0.000489092  2.89736e+22    0.0026985  1.17031e-07            0            0            0            0
           0   2.1097e+06      2646.83            0            0            0            0      2656.39  7.68464e+10         3772            0   0.00201682  0.000462244  0.000461242  2.79424e+22   0.00270886  1.10384e-07            0            0            0            0
           0   2.1675e+06       2685.8            0            0            0            0      2695.71  7.90816e+10      3771.92 -7.86172e-05     0.001982  0.000431821  0.000434102  2.68421e+22   0.00407134  1.03504e-07            0            0            0            0
           0   2.2253e+06      2725.43            0            0            0            0      2735.71  8.13228e+10      3771.83       -8e-05    0.0019477   0.00040434  0.000403285  2.56883e+22   0.00278075  9.65353e-08            0            0            0            0
           0   2.2831e+06      2765.78            0            0            0            0      2776.43  8.35708e+10         3772            0    0.0019136  0.000374265  0.000372911  2.44888e+22   0.00271078  8.93098e-08            0            0            0            0
           0   2.3409e+06      2803.66            0            0            0            0      2817.88  8.58257e+10         3772            0   0.00188232  0.000343483  0.000345752  2.33531e+22    0.0042748  8.23842e-08            0            0            0            0
           0   2.3987e+06      2845.41            0            0            0            0       2860.1  8.80883e+10         3772            0   0.00184908  0.000312999  0.000312359  2.21092e+22   0.00311109   7.4749e-08            0            0            0            0
           0   2.4565e+06      2887.97            0            0            0            0      2903.14  9.03608e+10         3772            0   0.00181657  0.000280248  0.000279324  2.08504e+22   0.00305218  6.68856e-08            0            0            0            0
           0   2.5143e+06      2931.34            0            0            0            0      2947.02  9.26432e+10         3772            0   0.00178444  0.000244981  0.000245901  1.95961e+22   0.00392115  5.86752e-08            0            0            0            0
           0   2.5721e+06      2975.57            0            0            0            0      2991.77  9.49359e+10      3771.98 -8.96565e-05    0.0017532   0.00021029  0.000209941  1.83539e+22    0.0034318  5.02302e-08            0            0            0            0
           0   2.6299e+06      3017.18            0            0            0            0      3037.45  9.72413e+10         3772            0    0.0017258  0.000177383  0.000177025  1.72196e+22   0.00349413  4.23624e-08            0            0            0            0
           0   2.6877e+06      3063.18            0            0            0            0      3084.09  9.95602e+10      3771.96  9.33318e-05   0.00169606  0.000138569  0.000139003  1.60209e+22   0.00393337  3.31781e-08            0            0            0            0
           0   2.7455e+06      3110.15            0            0            0            0      3131.74  1.01893e+11      3771.79  9.54249e-05   0.00166817   9.9769e-05  9.89505e-05  1.48537e+22   0.00343224  2.37529e-08            0            0            0            0
           0   2.8033e+06      3143.58            0            0            0            0      3180.47  1.04242e+11      3771.89  9.75964e-05   0.00164553   6.2229e-05  6.33826e-05  1.52823e+22   0.00282816  1.50198e-08            0            0            0            0
           0   2.8611e+06      3298.14            0            0            0            0      3227.86  1.06492e+11      3771.71 -1.12995e-07   0.00162325  1.85323e-05  1.77361e-05  8.00251e+21    0.0288981  4.32954e-09            0            0            0            0
