#       time        depth temperature sp_upper sp_lower plate_edge adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity log_viscosity vertical_heat_flux vertical_mass_flux sp_upper_mass sp_lower_mass plate_edge_mass
           0   2.1675e+06      2685.83            0            0            0      2685.83  7.85669e+10      3771.92  1.97024e-05            0            0            0   2.6793e+22       22.428   0.00315586            0            0            0            0
           0   2.2253e+06      2722.41            0            0            0      2722.41  8.06243e+10      3771.87  4.18245e-08            0            0            0  2.57366e+22      22.4105    0.0032076            0            0            0            0
           0   2.2831e+06      2763.74            0            0            0      2763.74   8.2917e+10       3771.9   -1.136e-07            0            0            0  2.45057e+22      22.3892   0.00326604            0            0            0            0
           0   2.3409e+06      2805.83            0            0            0      2805.83  8.52167e+10      3771.88  1.63957e-05            0            0            0  2.32535e+22      22.3664   0.00332677            0            0            0            0
           0   2.3987e+06      2848.71            0            0            0      2848.71  8.75241e+10      3771.86  1.59997e-08            0            0            0  2.19705e+22      22.3418    0.0033895            0            0            0            0
           0   2.4565e+06         2888            0            0            0         2888  8.96089e+10      3771.87  -2.1401e-05            0            0            0  2.08202e+22      22.3184   0.00345074            0            0            0            0
           0   2.5143e+06      2928.03            0            0            0      2928.03  9.17025e+10      3771.85  -1.7449e-05            0            0            0  1.96579e+22      22.2935   0.00351204            0            0            0            0
           0   2.5721e+06      2973.33            0            0            0      2973.33  9.40385e+10      3771.86 -1.78486e-05            0            0            0  1.83893e+22      22.2645   0.00358388            0            0            0            0
           0   2.6299e+06      3019.58            0            0            0      3019.58  9.63866e+10      3771.86 -1.82659e-05            0            0            0  1.71292e+22      22.2336   0.00365975            0            0            0            0
           0   2.6877e+06      3066.82            0            0            0      3066.82  9.87486e+10      3771.82 -1.86083e-05            0            0            0  1.59063e+22      22.2015   0.00373959            0            0            0            0
           0   2.7455e+06       3110.2            0            0            0       3110.2  1.00886e+11      3771.78   2.3378e-05            0            0            0  1.48268e+22       22.171    0.0038127            0            0            0            0
           0   2.8033e+06      3259.07            0            0            0      3154.49  1.03037e+11      3771.85 -1.92574e-05            0            0            0  6.95486e+21      21.8252   0.00389279            0            0            0            0
           0   2.8611e+06       2694.2            0            0            0      3204.78  1.05444e+11      3771.83 -6.70624e-08            0            0            0  5.33176e+23      23.3977   -0.0923592            0            0            0            0
           0        28900      921.996    0.0237436     0.116145    0.0129612       1584.6  9.76795e+08      3299.94 -7.92137e-06            0            0            0  6.04341e+22      22.0007    0.0750878            0      75.3621      379.221      42.8708
           0        86700      1517.43  0.000676618     0.029569    0.0129669      1606.88  2.83562e+09      3299.94  4.44656e-06            0            0            0   1.3449e+21      19.8188    0.0177663            0      2.22253      96.8458      42.8076
           0       144500      1623.08  0.000887122   0.00165732    0.0130024      1629.52  4.69793e+09      3299.93 -4.08655e-06            0            0            0   1.6925e+21      19.6254   0.00253546            0      2.95722      5.48079      42.9115
           0       202300       1649.6  8.35331e-06   0.00220527   0.00405075      1652.53  6.56396e+09      3299.95  9.17456e-06            0            0            0  1.52789e+21      19.8027   0.00164174            0    0.0282893      7.30869      13.3674
           0       260100      1674.46            0  0.000124047 -0.000195313      1675.91  8.43409e+09      3299.93  4.19156e-06            0            0            0  2.46856e+20      19.9795   0.00184729            0            0      0.41275    -0.644584
           0       317900      1700.85            0            0            0      1700.93  1.04067e+10      3299.94 -3.16609e-08            0            0            0  1.44467e+20      20.1568   0.00175908            0            0            0            0
           0       375700       1725.1            0            0            0      1725.09  1.22846e+10      3299.96  4.79969e-06            0            0            0   2.1017e+20      20.3204   0.00175601            0            0            0            0
           0       433500      1749.65            0            0            0      1749.65  1.41802e+10      3368.35   0.00159035            0            0            0  3.01552e+20      20.4768   0.00182187            0            0            0            0
           0       491300      1774.59            0            0            0      1774.59  1.61152e+10      3394.34  5.11627e-06            0            0            0  4.27821e+20      20.6294   0.00186399            0            0            0            0
           0       549100      1799.91            0            0            0      1799.91  1.80613e+10      3427.44  0.000883533            0            0            0  5.98656e+20       20.775   0.00191091            0            0            0            0
           0       606900      1826.98            0            0            0      1826.98  2.01352e+10      3452.78  0.000122668            0            0            0  8.41781e+20      20.9232   0.00195578            0            0            0            0
           0       664700      1853.09            0            0            0      1853.09  2.21316e+10      3596.99   0.00577111            0            0            0  1.12685e+22      21.9013   0.00206829            0            0            0            0
           0       722500      1878.18            0            0            0      1878.18   2.4145e+10      3771.89  1.54017e-05            0            0            0   1.7474e+22      22.2423   0.00219681            0            0            0            0
           0       780300      1905.01            0            0            0      1905.01   2.6303e+10      3771.92 -1.10878e-05            0            0            0  1.90323e+22      22.2794   0.00222642            0            0            0            0
           0       838100      1933.68            0            0            0      1933.64  2.85727e+10      3771.95 -2.24089e-05            0            0            0  2.06594e+22       22.315   0.00227121            0            0            0            0
           0       895900      1962.68            0            0            0      1962.68  3.08404e+10      3771.95  9.19112e-08            0            0            0  2.21108e+22      22.3445   0.00224514            0            0            0            0
           0       953700      1991.19            0            0            0      1992.12  3.31061e+10      3771.92  1.16523e-07            0            0            0  2.37454e+22      22.3755   0.00229969            0            0            0            0
           0   1.0115e+06      2018.77            0            0            0      2018.97  3.51436e+10      3771.93  2.91302e-05            0            0            0  2.50232e+22      22.3983   0.00243004            0            0            0            0
           0   1.0693e+06      2046.29            0            0            0      2046.18  3.71798e+10      3771.92 -8.02169e-08            0            0            0  2.64346e+22      22.4221   0.00237302            0            0            0            0
           0   1.1271e+06      2076.82            0            0            0      2076.82  3.94408e+10      3771.91 -1.30226e-07            0            0            0  2.78796e+22      22.4452   0.00241603            0            0            0            0
           0   1.1849e+06      2107.89            0            0            0      2107.89  4.17003e+10      3771.92 -1.22426e-05            0            0            0  2.90896e+22      22.4637   0.00245054            0            0            0            0
           0   1.2427e+06      2139.41            0            0            0      2139.41  4.39585e+10      3771.89  2.46666e-05            0            0            0  3.01591e+22      22.4794   0.00248617            0            0            0            0
           0   1.3005e+06      2168.16            0            0            0      2168.16  4.59902e+10      3771.86 -3.12521e-05            0            0            0  3.09945e+22      22.4913   0.00251855            0            0            0            0
           0   1.3583e+06       2197.3            0            0            0       2197.3   4.8021e+10       3771.9  1.26309e-05            0            0            0  3.16943e+22       22.501    0.0025515            0            0            0            0
           0   1.4161e+06      2230.12            0            0            0      2230.12  5.02768e+10      3771.86  1.28459e-05            0            0            0  3.23128e+22      22.5094   0.00258913            0            0            0            0
           0   1.4739e+06      2263.43            0            0            0      2263.43  5.25324e+10      3771.92  2.60782e-05            0            0            0  3.27585e+22      22.5153   0.00262768            0            0            0            0
           0   1.5317e+06      2297.24            0            0            0      2297.23  5.47879e+10      3771.99 -1.31504e-05            0            0            0  3.30278e+22      22.5189    0.0026668            0            0            0            0
           0   1.5895e+06      2328.08            0            0            0      2328.08  5.68178e+10      3771.94 -6.09692e-08            0            0            0  3.31255e+22      22.5202   0.00270284            0            0            0            0
           0   1.6473e+06      2359.37            0            0            0      2359.37  5.88484e+10      3771.95 -5.00837e-08            0            0            0  3.30772e+22      22.5195   0.00274044            0            0            0            0
           0   1.7051e+06      2394.63            0            0            0      2394.63  6.11056e+10      3771.97  2.76249e-05            0            0            0  3.28673e+22      22.5168   0.00278262            0            0            0            0
           0   1.7629e+06      2430.44            0            0            0      2430.44  6.33639e+10      3771.95 -5.13523e-08            0            0            0  3.24996e+22      22.5119   0.00282597            0            0            0            0
           0   1.8207e+06      2466.95            0            0            0      2466.81  6.56239e+10       3771.9 -1.09343e-07            0            0            0  3.18602e+22      22.5032   0.00288221            0            0            0            0
           0   1.8785e+06      2499.77            0            0            0      2500.04  6.76601e+10      3771.88 -1.39507e-07            0            0            0   3.1184e+22      22.4939   0.00281366            0            0            0            0
