distance,heat flow
2.2982514334455573, 41.48936170212764
23.551153864379444, 28.72340425531914
64.78541755516585, 24.468085106382972
110.41873983161952, 27.65957446808511
123.75807547110207, 30.851063829787222
148.2490641141069, 31.914893617021278
158.26343805778004, 32.978723404255334
176.06501445292133, 35.10638297872339
197.2152458576188, 36.170212765957444
231.6811195880523, 43.61702127659575
292.78617574120574, 62.7659574468085
357.29517130265833, 73.40425531914894
412.934969751536, 78.72340425531914
475.2720782195264, 81.91489361702125
513.1181980445117, 84.04255319148936
550.9485223269992, 88.29787234042553
