,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,lon,lat,conv_rate,conv_angle,trench_velocity,trench_velocity_angle,arc_length,trench_azimuth_angle,subducting_pid,trench_pid,age,lon_fix,lat_fix,fix_age_polarity,near_distance,conv_angle_polarity
0,0,0,0,0,102.21959422584264,-7.036781386763762,6.132785500792475,-11.70387270090359,-1.212500641924254,59.89503676068953,0.0543113283341081,39.67904864060935,511.0,686.0,71.32467651367188,462.0748992155904,-7.123294271129346,0.0,18977447.83218307,0.0
1,1,1,1,1,100.93050047379278,-5.50935986300153,5.98670124372512,-21.17489428125876,-1.2813657296971437,47.48527051943271,0.0572480493560018,48.72470424108239,511.0,686.0,66.03298950195312,460.7607025430409,-5.583511626598359,0.0,2319115.666191078,0.0
2,2,2,2,2,99.6512800986341,-3.97009782151342,5.832162116829741,-26.67853094845844,-1.3555244027303708,39.45606112246493,0.0568485268766533,53.70060516412399,511.0,686.0,61.0473518371582,459.4696160364022,-4.036643145479172,0.0,3316417.59864706,0.0
3,3,3,3,3,98.46648435718888,-2.3574514797137827,5.669421568389179,-27.5079909540934,-1.440153349338859,36.73700216290297,0.0568485272965847,53.76914051890654,511.0,686.0,56.4025764465332,458.2849554124887,-2.423890401635397,0.0,3416936.8499267823,0.0
4,4,4,4,4,97.2999166607884,-0.7326824970999074,5.51185641438316,-29.22713040340533,-1.5223483643027609,33.6639698933174,0.0569132989460286,54.641887127044896,511.0,686.0,42.53490829467773,457.1165353523205,-0.7977345333727243,0.0,2976370.950003843,0.0
5,5,5,5,5,96.14255563660852,0.8984547838386313,5.350986096660455,-30.19551247462529,-1.605650664236652,31.70612422666835,0.0569132997447656,54.63997017277288,511.0,686.0,48.67543029785156,455.9591829846802,0.8333975919741805,0.0,2988631.8856788212,0.0
6,6,6,6,6,94.955989678223,2.5084299138260264,5.183824902009276,-29.70564586288953,-1.689071237905142,31.433465617748467,0.057282189490357,53.07733544416742,511.0,686.0,52.13156127929688,454.4164106669259,2.2382546309737226,0.0,3019898.8050090093,0.0
7,7,7,7,7,93.75158643383897,4.106659036632651,5.012113936591677,-30.831912563105167,-1.7723993369195128,29.80103938158045,0.0572821892162227,53.00726568153142,511.0,686.0,65.41825866699219,453.0319054193379,3.7006326364468713,0.0,3067802.322347526,0.0
8,8,8,8,8,92.74240132522075,5.82993425029491,4.8532724520416615,-41.47480346702372,-1.85964653750682,19.48891269750512,0.0571610773764136,62.09883408034151,511.0,686.0,71.29052734375,452.343092765548,5.724690398857356,0.0,3873267.0401246,0.0
9,9,9,9,9,92.01484043680286,7.6606104423156465,4.720559968552526,-66.26356928350589,-1.9473577843209453,-4.075253884799476,0.0563600099494781,84.98376452615973,511.0,686.0,78.72618103027344,451.7888646759075,7.65076636609634,0.0,10702886.984568756,0.0
10,10,10,10,10,91.8375041863541,9.652747990303515,4.628344033309943,-67.57683168980326,-2.034702088825565,-3.900035907681841,0.0563736169788343,84.95787190853473,511.0,686.0,81.57737731933594,451.3832042100259,9.632913658666364,0.0,10524189.6027972,0.0
11,11,11,11,11,-125.39384978387884,44.03592861594237,4.614445278822018,-56.16607996315973,2.1133360922099738,127.21765946661225,0.0400288209964191,126.92366894051348,903.0,12001.0,7.177094459533691,234.35556317763968,44.10339385416223,0.0,40030173.59204114,0.0
12,12,12,12,12,-125.9948018313846,46.96585176356151,4.250504421005027,-9.513235873430016,1.7873768218888095,173.394902475322,0.0554955651723429,78.85901887644772,903.0,12001.0,6.767121315002441,233.68221724933005,46.944016822148576,0.0,40030173.59204114,0.0
13,13,13,13,13,-127.89946524919036,49.56887470996627,3.8744069370098506,-0.1449911462262855,1.4612684482657103,-175.99900254925288,0.0520932689745111,68.49847931538608,903.0,12001.0,4.177577018737793,231.77853085638483,49.52755969489068,0.0,7036086.439958573,0.0
14,14,14,14,14,104.44568199887816,-8.937398132426289,6.946731037625996,4.916129597171657,2.385930609796816,108.8851959890761,0.057068502153829,11.41228675936676,801.0,736.0,98.3412628173828,464.4006211131768,-9.047590063891688,0.0,40030173.59204114,1.0
15,15,15,15,15,106.45738706928732,-9.14895208660753,6.968209484504099,11.44369942897776,2.3699910221262352,114.56493978548774,0.05729263622416,4.524914284271995,801.0,736.0,105.05815887451172,466.4214089848009,-9.37308127325913,0.0,18186004.421105154,1.0
16,16,16,16,16,108.46988690578884,-9.379401697761809,6.980102246018248,8.671140716130447,2.356070604513057,110.96628095662298,0.0571315080713631,6.974788021704844,801.0,736.0000000000001,113.8963623046875,468.303182952381,-10.272050258963445,0.0,18403934.46612682,1.0
17,17,17,17,17,110.13032578401604,-9.473560306305,6.978361192874729,16.6920669479057,2.315438922668605,116.87143231394845,0.0543154690829332,355.3221704040885,801.0,736.0,118.17035675048828,470.2798680080638,-10.81803075268704,0.0,911632.9506748945,1.0
18,18,18,18,18,111.89183618391138,-9.503031175316757,6.983740173685797,14.38171593837566,2.3311537359586194,115.34593864050476,0.0554883865597256,84.66038682040679,801.0,736.0,,471.89183634304845,-9.503040167163109,,1098972.6691441403,1.0
19,19,19,19,19,115.50570440733316,-9.497728176048124,7.022478680537352,11.551270918599707,2.393310596335932,112.52179070553956,0.0565306010844668,127.6926526053864,801.0,651.0,128.91070556640625,475.5057044073332,-11.296371387885586,0.0,1487200.0111159962,1.0
20,20,20,20,20,118.06000533974483,-9.371628706360143,6.767177864231114,18.28985887087452,2.2712089620431164,111.87890600114171,0.0564847005556077,355.5643541091089,801.0,651.0,140.75888061523438,478.3453005660359,-12.061443419170104,0.0,1936405.3500299654,1.0
